2023-08-10 01:53:23 status unpacked diffutils:riscv64 1:3.8-0ubuntu2
2023-08-10 01:53:23 upgrade dpkg:riscv64 1.21.1ubuntu2 1.21.1ubuntu2
2023-08-10 01:53:23 status half-configured dpkg:riscv64 1.21.1ubuntu2
2023-08-10 01:53:23 status unpacked dpkg:riscv64 1.21.1ubuntu2
2023-08-10 01:53:23 status half-installed dpkg:riscv64 1.21.1ubuntu2
2023-08-10 01:53:23 status unpacked dpkg:riscv64 1.21.1ubuntu2
2023-08-10 01:53:24 install e2fsprogs:riscv64 <none> 1.46.5-2ubuntu1
2023-08-10 01:53:24 status half-installed e2fsprogs:riscv64 1.46.5-2ubuntu1
2023-08-10 01:53:24 status unpacked e2fsprogs:riscv64 1.46.5-2ubuntu1
2023-08-10 01:53:24 install findutils:riscv64 <none> 4.8.0-1ubuntu3
2023-08-10 01:53:24 status half-installed findutils:riscv64 4.8.0-1ubuntu3
2023-08-10 01:53:24 status unpacked findutils:riscv64 4.8.0-1ubuntu3
2023-08-10 01:53:24 install gcc-12-base:riscv64 <none> 12-20220319-1ubuntu1
2023-08-10 01:53:24 status half-installed gcc-12-base:riscv64 12-20220319-1ubuntu1
2023-08-10 01:53:24 status unpacked gcc-12-base:riscv64 12-20220319-1ubuntu1
2023-08-10 01:53:24 install grep:riscv64 <none> 3.7-1build1
2023-08-10 01:53:24 status half-installed grep:riscv64 3.7-1build1
2023-08-10 01:53:24 status unpacked grep:riscv64 3.7-1build1
2023-08-10 01:53:24 install gzip:riscv64 <none> 1.10-4ubuntu4
2023-08-10 01:53:24 status half-installed gzip:riscv64 1.10-4ubuntu4
2023-08-10 01:53:24 status unpacked gzip:riscv64 1.10-4ubuntu4
2023-08-10 01:53:24 install hostname:riscv64 <none> 3.23ubuntu2
2023-08-10 01:53:24 status half-installed hostname:riscv64 3.23ubuntu2
2023-08-10 01:53:24 status unpacked hostname:riscv64 3.23ubuntu2
2023-08-10 01:53:24 install init-system-helpers:all <none> 1.62
2023-08-10 01:53:24 status half-installed init-system-helpers:all 1.62
2023-08-10 01:53:24 status unpacked init-system-helpers:all 1.62
2023-08-10 01:53:25 install libacl1:riscv64 <none> 2.3.1-1
2023-08-10 01:53:25 status half-installed libacl1:riscv64 2.3.1-1
2023-08-10 01:53:25 status unpacked libacl1:riscv64 2.3.1-1
2023-08-10 01:53:25 install libattr1:riscv64 <none> 1:2.5.1-1build1
2023-08-10 01:53:25 status half-installed libattr1:riscv64 1:2.5.1-1build1
2023-08-10 01:53:25 status unpacked libattr1:riscv64 1:2.5.1-1build1
2023-08-10 01:53:25 install libaudit-common:all <none> 1:3.0.7-1build1
2023-08-10 01:53:25 status half-installed libaudit-common:all 1:3.0.7-1build1
2023-08-10 01:53:25 status unpacked libaudit-common:all 1:3.0.7-1build1
2023-08-10 01:53:25 install libaudit1:riscv64 <none> 1:3.0.7-1build1
2023-08-10 01:53:25 status half-installed libaudit1:riscv64 1:3.0.7-1build1
2023-08-10 01:53:25 status unpacked libaudit1:riscv64 1:3.0.7-1build1
2023-08-10 01:53:25 install libblkid1:riscv64 <none> 2.37.2-4ubuntu3
2023-08-10 01:53:25 status half-installed libblkid1:riscv64 2.37.2-4ubuntu3
2023-08-10 01:53:25 status unpacked libblkid1:riscv64 2.37.2-4ubuntu3
2023-08-10 01:53:25 install libbz2-1.0:riscv64 <none> 1.0.8-5build1
2023-08-10 01:53:25 status half-installed libbz2-1.0:riscv64 1.0.8-5build1
2023-08-10 01:53:25 status unpacked libbz2-1.0:riscv64 1.0.8-5build1
2023-08-10 01:53:25 install libc-bin:riscv64 <none> 2.35-0ubuntu3
2023-08-10 01:53:25 status half-installed libc-bin:riscv64 2.35-0ubuntu3
2023-08-10 01:53:25 status unpacked libc-bin:riscv64 2.35-0ubuntu3
2023-08-10 01:53:26 upgrade libc6:riscv64 2.35-0ubuntu3 2.35-0ubuntu3
2023-08-10 01:53:26 status half-configured libc6:riscv64 2.35-0ubuntu3
2023-08-10 01:53:26 status unpacked libc6:riscv64 2.35-0ubuntu3
2023-08-10 01:53:26 status half-installed libc6:riscv64 2.35-0ubuntu3
2023-08-10 01:53:26 status unpacked libc6:riscv64 2.35-0ubuntu3
2023-08-10 01:53:27 install libcap-ng0:riscv64 <none> 0.7.9-2.2build3
2023-08-10 01:53:27 status half-installed libcap-ng0:riscv64 0.7.9-2.2build3
2023-08-10 01:53:27 status unpacked libcap-ng0:riscv64 0.7.9-2.2build3
2023-08-10 01:53:27 install libcap2:riscv64 <none> 1:2.44-1build3
2023-08-10 01:53:27 status half-installed libcap2:riscv64 1:2.44-1build3
2023-08-10 01:53:27 status unpacked libcap2:riscv64 1:2.44-1build3
2023-08-10 01:53:27 install libcom-err2:riscv64 <none> 1.46.5-2ubuntu1
2023-08-10 01:53:27 status half-installed libcom-err2:riscv64 1.46.5-2ubuntu1
2023-08-10 01:53:27 status unpacked libcom-err2:riscv64 1.46.5-2ubuntu1
2023-08-10 01:53:27 install libcrypt1:riscv64 <none> 1:4.4.27-1
2023-08-10 01:53:27 status half-installed libcrypt1:riscv64 1:4.4.27-1
2023-08-10 01:53:27 status unpacked libcrypt1:riscv64 1:4.4.27-1
2023-08-10 01:53:27 install libdb5.3:riscv64 <none> 5.3.28+dfsg1-0.8ubuntu3
2023-08-10 01:53:27 status half-installed libdb5.3:riscv64 5.3.28+dfsg1-0.8ubuntu3
2023-08-10 01:53:27 status unpacked libdb5.3:riscv64 5.3.28+dfsg1-0.8ubuntu3
